,AvgAcc,Reg1Acc,Reg2Acc,numsub,numvox,TRs,n_clusters,corrstrength,bootstraps,noiselevel,SNR,reps
0,0.569606687,0.52859023,0.610623143,1,500,400,2,0.5,100,2.5,0.2,45
0,0.651628191,0.599909285,0.703347098,1,500,400,2,0.5,100,2.5,0.2,46
0,0.689580063,0.682419545,0.696740581,1,500,400,2,0.5,100,2.5,0.2,47
0,0.641150871,0.55809807,0.724203673,1,500,400,2,0.5,100,2.5,0.2,48
0,0.562347764,0.606976744,0.517718783,1,500,400,2,0.5,100,2.5,0.2,49
0,0.504063398,0.483769027,0.524357769,1,500,100,2,0.5,10,2.5,0.2,0
0,0.364991639,0.413403929,0.316579349,1,500,100,2,0.5,10,2.5,0.2,1
0,0.401711522,0.439058424,0.36436462,1,500,100,2,0.5,10,2.5,0.2,2
0,0.448375307,0.516391736,0.380358879,1,500,100,2,0.5,10,2.5,0.2,3
0,0.446742753,0.509334826,0.384150679,1,500,100,2,0.5,10,2.5,0.2,4
0,0.39435205,0.471943725,0.316760374,1,500,100,2,0.5,10,2.5,0.2,5
0,0.418136977,0.554244749,0.282029205,1,500,100,2,0.5,10,2.5,0.2,6
0,0.361431083,0.218434018,0.504428147,1,500,100,2,0.5,10,2.5,0.2,7
0,0.499804459,0.554599315,0.445009604,1,500,100,2,0.5,10,2.5,0.2,8
0,0.365897821,0.454553613,0.277242028,1,500,100,2,0.5,10,2.5,0.2,9
0,0.515906024,0.467261375,0.564550672,1,500,100,2,0.5,10,2.5,0.2,10
0,0.348888294,0.422684542,0.275092045,1,500,100,2,0.5,10,2.5,0.2,11
0,0.385552367,0.419561504,0.35154323,1,500,100,2,0.5,10,2.5,0.2,12
0,0.559806471,0.553708989,0.565903952,1,500,100,2,0.5,10,2.5,0.2,13
0,0.329875643,0.344233598,0.315517689,1,500,100,2,0.5,10,2.5,0.2,14
0,0.333763316,0.354120446,0.313406185,1,500,100,2,0.5,10,2.5,0.2,15
0,0.418314016,0.406898411,0.429729621,1,500,100,2,0.5,10,2.5,0.2,16
0,0.469079866,0.532031674,0.406128059,1,500,100,2,0.5,10,2.5,0.2,17
0,0.394569889,0.406391338,0.38274844,1,500,100,2,0.5,10,2.5,0.2,18
0,0.407675455,0.41409191,0.401258999,1,500,100,2,0.5,10,2.5,0.2,19
0,0.339770707,0.320552493,0.358988921,1,500,100,2,0.5,10,2.5,0.2,20
0,0.42400869,0.358939147,0.489078232,1,500,100,2,0.5,10,2.5,0.2,21
0,0.367441525,0.340102371,0.39478068,1,500,100,2,0.5,10,2.5,0.2,22
0,0.458804685,0.47618618,0.441423191,1,500,100,2,0.5,10,2.5,0.2,23
0,0.317107694,0.325754229,0.308461158,1,500,100,2,0.5,10,2.5,0.2,24
0,0.345857523,0.316854105,0.374860942,1,500,100,2,0.5,10,2.5,0.2,25
0,0.251685125,0.344283875,0.159086374,1,500,100,2,0.5,10,2.5,0.2,26
0,0.434504116,0.431151885,0.437856347,1,500,100,2,0.5,10,2.5,0.2,27
0,0.498724628,0.507743952,0.489705303,1,500,100,2,0.5,10,2.5,0.2,28
0,0.392280037,0.291827519,0.492732556,1,500,100,2,0.5,10,2.5,0.2,29
0,0.567127313,0.550516276,0.583738349,1,500,100,2,0.5,10,2.5,0.2,30
0,0.335659924,0.39955467,0.271765177,1,500,100,2,0.5,10,2.5,0.2,31
0,0.430481706,0.398679784,0.462283628,1,500,100,2,0.5,10,2.5,0.2,32
0,0.485247248,0.494237429,0.476257068,1,500,100,2,0.5,10,2.5,0.2,33
0,0.452525123,0.495706298,0.409343947,1,500,100,2,0.5,10,2.5,0.2,34
